x,y,species cloglog values
1.0,1.0,2.631902E-5
2.0,2.0,3.716212E-5
3.0,3.0,3.3325934E-5
4.0,4.0,4.237966E-6
5.0,5.0,7.4344185E-5
6.0,6.0,1.4263099E-4
7.0,7.0,3.4178077E-4
8.0,8.0,5.190307E-4
9.0,9.0,2.5685576E-5
10.0,10.0,3.813559E-5
11.0,11.0,1.2529391E-6
12.0,12.0,1.7619152E-4
13.0,13.0,1.0283108E-5
14.0,14.0,9.122858E-4
15.0,15.0,5.6158402E-5
16.0,16.0,3.3796186E-4
17.0,17.0,0.003867805
18.0,18.0,1.1367213E-5
19.0,19.0,9.788806E-4
20.0,20.0,3.5817124E-4
21.0,21.0,0.0094143655
22.0,22.0,0.004856292
23.0,23.0,0.09692859
24.0,24.0,1.4763877E-5
25.0,25.0,2.0335872E-4
26.0,26.0,0.05826758
27.0,27.0,0.0024230096
28.0,28.0,5.129261E-5
29.0,29.0,5.805424E-4
30.0,30.0,0.058474805
31.0,31.0,3.0961997E-4
32.0,32.0,0.036736276
33.0,33.0,5.020317E-5
34.0,34.0,2.7244948E-6
35.0,35.0,0.110390455
36.0,36.0,0.0014935684
37.0,37.0,0.042963516
38.0,38.0,0.04737257
39.0,39.0,2.8380114E-6
40.0,40.0,2.513496E-6
41.0,41.0,0.18613972
42.0,42.0,0.03871404
43.0,43.0,4.5651713E-4
44.0,44.0,3.6588655E-4
45.0,45.0,2.08994E-6
46.0,46.0,0.001168283
47.0,47.0,7.4950844E-4
48.0,48.0,1.4365642E-5
49.0,49.0,0.0487978
50.0,50.0,0.002022475
51.0,51.0,3.34016E-4
52.0,52.0,0.27937987
53.0,53.0,0.5339877
54.0,54.0,0.036215417
55.0,55.0,0.05523196
56.0,56.0,0.379813
57.0,57.0,0.0020044881
58.0,58.0,0.0018557776
59.0,59.0,6.1435695E-4
60.0,60.0,0.20593905
61.0,61.0,5.5992205E-5
62.0,62.0,9.642017E-4
63.0,63.0,6.0607745E-6
64.0,64.0,0.0010879368
65.0,65.0,0.002637322
66.0,66.0,4.0850562E-5
67.0,67.0,0.05308791
68.0,68.0,4.1831795E-6
69.0,69.0,0.0018616593
70.0,70.0,2.827922E-4
71.0,71.0,1.2282558E-5
72.0,72.0,0.0011733082
73.0,73.0,0.0015203771
74.0,74.0,0.06299585
75.0,75.0,0.0037794088
76.0,76.0,5.785725E-5
77.0,77.0,4.9005466E-4
78.0,78.0,0.0010939151
79.0,79.0,5.4374595E-5
80.0,80.0,1.0180846E-6
81.0,81.0,5.753898E-6
82.0,82.0,5.974238E-4
83.0,83.0,4.2097665E-5
