Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.47295E-10,0.000000015,0.000000113,1,0,0
1.76863E-10,0.000000032,0.000000135,0.999886993,0,0
2.00123E-10,0.00000011,0.000000153,0.999434964,0,0
2.55747E-10,0.000000267,0.000000196,0.998643915,0,0
3.84487E-10,0.000001037,0.000000294,0.995931744,0,0
5.86391E-10,0.000002527,0.000000449,0.99254153,0,0
9.98352E-10,0.000010037,0.000000764,0.981805854,0,0
1.69075E-9,0.000025085,0.000001294,0.968923042,0,0
2.69473E-9,0.000050055,0.000002063,0.956040231,0,0
3.917E-9,0.000100025,0.000002998,0.939089163,0,0
6.8245E-9,0.000250511,0.000005223,0.906769126,0,0
1.22898E-8,0.000501171,0.000009407,0.876370211,0,0
2.18878E-8,0.001000767,0.000016753,0.842355068,0,0
4.60323E-8,0.002504269,0.000035232,0.790936829,0,0
7.57882E-8,0.005000126,0.000058006,0.74381286,0,0
1.24514E-7,0.010003742,0.000095298,0.686179229,0,0
2.50422E-7,0.025007633,0.000191653,0.592496327,0,0
4.39624E-7,0.050036898,0.00033643,0.508532038,0,0
8.36217E-7,0.100010528,0.000639832,0.416205221,0,0
1.87189E-6,0.200089694,0.001431711,0.32602554,0,0
3.43251E-6,0.300286188,0.002623779,0.282291784,0,0
5.18689E-6,0.400230789,0.003962153,0.255509097,0,0
7.01355E-6,0.500173849,0.005353755,0.236749915,0,0
9.56428E-6,0.600303857,0.007293725,0.22285004,0,0
1.19095E-5,0.700952089,0.009074047,0.21222737,0,0
1.31398E-5,0.750953862,0.010006737,0.207707086,0,0
1.47172E-5,0.800875936,0.011201297,0.203638829,0,0
1.75435E-5,0.901241924,0.013337991,0.196632388,0,0
2.08547E-5,1.001617088,0.015835359,0.190643011,0,0
2.45047E-5,1.100972699,0.018581006,0.185670697,0,0
2.76975E-5,1.20220376,0.020976419,0.18126342,0,0.016666667
3.07288E-5,1.301583358,0.023245227,0.177421178,0,0.016666667
3.42025E-5,1.402249859,0.02583872,0.173917957,0,0.016666667
3.74419E-5,1.503033873,0.028251078,0.170753757,0,0.016666667
4.55988E-5,1.750478518,0.034299065,0.16397333,0,0.033333333
5.31425E-5,2.001372838,0.039858852,0.158209967,0,0.033333333
6.11427E-5,2.252327363,0.045720135,0.153237654,0,0.033333333
6.64631E-5,2.501994483,0.049598327,0.148830376,0,0.033333333
7.17711E-5,2.757081497,0.05345166,0.144649113,0,0.033333333
7.84792E-5,3.003759132,0.058299128,0.140919878,0,0.033333333
8.5666E-5,3.257597292,0.063464955,0.137416657,0,0.05
9.32789E-5,3.500419249,0.068906131,0.134365465,0,0.05
1.01476E-4,3.752727631,0.074729311,0.13142728,0,0.05
1.11426E-4,4.008730592,0.08174929,0.128715109,0.007042254,0.05
1.21198E-4,4.253762337,0.088591794,0.12634196,0.007042254,0.05
1.30509E-4,4.505983575,0.095063759,0.124081817,0.014084507,0.05
1.38525E-4,4.761473051,0.100598835,0.121934682,0.021126761,0.05
1.45077E-4,5.00364943,0.105098166,0.120013561,0.021126761,0.05
1.53357E-4,5.258330857,0.110751665,0.11809244,0.021126761,0.05
1.6234E-4,5.510263814,0.116844655,0.116284326,0.021126761,0.05
1.73126E-4,5.761153155,0.12410567,0.114589219,0.021126761,0.05
1.8536E-4,6.012951696,0.13226896,0.113007119,0.028169014,0.05
1.95365E-4,6.260442734,0.138888944,0.111538027,0.028169014,0.05
