Predictor variable,Categorical,Sample average
wc2.0_bio_30s_01,false,21.244248776368693
wc2.0_bio_30s_02,false,9.578990630700554
wc2.0_bio_30s_03,false,83.89816249256403
wc2.0_bio_30s_04,false,57.00284392397169
wc2.0_bio_30s_05,false,26.911971797405833
wc2.0_bio_30s_06,false,15.450704213599083
wc2.0_bio_30s_07,false,11.46126757541173
wc2.0_bio_30s_08,false,21.278403688484513
wc2.0_bio_30s_09,false,21.05528162230908
wc2.0_bio_30s_10,false,21.864906149850764
wc2.0_bio_30s_11,false,20.508333266620905
wc2.0_bio_30s_12,false,2158.0985915492956
wc2.0_bio_30s_13,false,308.9788732394366
wc2.0_bio_30s_14,false,68.35915492957747
wc2.0_bio_30s_15,false,49.2845139503479
wc2.0_bio_30s_16,false,819.0422535211268
wc2.0_bio_30s_17,false,247.3943661971831
wc2.0_bio_30s_18,false,474.07042253521126
wc2.0_bio_30s_19,false,555.9366197183099
